DateOfCall,FirstPumpArriving_AttendanceTime
24/04/2019,327.0193798
25/04/2019,321.6194332
26/04/2019,309.6764706
27/04/2019,312.8865979
28/04/2019,313.627451
29/04/2019,294.5112782
30/04/2019,338.954023
01/05/2019,319.045283
02/05/2019,309.3582677
03/05/2019,321.8282443
04/05/2019,316.049505
05/05/2019,301.2861953
06/05/2019,306.4980843
07/05/2019,299.6124567
08/05/2019,303.8786611
09/05/2019,309.1515152
10/05/2019,296.296
11/05/2019,307.5428571
12/05/2019,295.9182879
13/05/2019,310.0942029
14/05/2019,318.3646617
15/05/2019,323.7439446
16/05/2019,331.6360544
17/05/2019,315.3059701
18/05/2019,305.7945736
19/05/2019,293.0436508
20/05/2019,309.6566038
21/05/2019,313.5992509
22/05/2019,317.0939597
23/05/2019,358.8874598
24/05/2019,342.1006289
25/05/2019,307.5357143
26/05/2019,311.8394649
27/05/2019,296.4584838
28/05/2019,318.8534799
29/05/2019,307.6367041
30/05/2019,301.4156863
31/05/2019,307.6075949
01/06/2019,312.4827586
02/06/2019,298.170088
03/06/2019,321.6617647
04/06/2019,318.1192308
05/06/2019,313.7607143
06/06/2019,323.9166667
07/06/2019,324.5785124
08/06/2019,317.5105634
09/06/2019,371.5535055
10/06/2019,346.290566
11/06/2019,337.6917293
12/06/2019,328.8294314
13/06/2019,309.2130435
14/06/2019,319.1890034
15/06/2019,296.2895753
16/06/2019,298.8284672
17/06/2019,305.1461538
18/06/2019,305.8617512
19/06/2019,306.749004
20/06/2019,312.7017544
21/06/2019,310.0441176
22/06/2019,319.3650794
23/06/2019,312.8961938
24/06/2019,306.6013072
25/06/2019,314.0060606
26/06/2019,299.1438849
27/06/2019,322.5681818
28/06/2019,329.1090909
29/06/2019,325.6896552
30/06/2019,306.1541096
01/07/2019,315.8509317
02/07/2019,318.0484429
03/07/2019,311.3503185
04/07/2019,319.5519288
05/07/2019,332.1482558
06/07/2019,336.3457944
07/07/2019,307.3139932
08/07/2019,330.456446
09/07/2019,319.7391304
10/07/2019,328.4738562
11/07/2019,325.2948718
12/07/2019,322.7597403
13/07/2019,312.3878205
14/07/2019,304.2553191
15/07/2019,315.8935484
16/07/2019,319.74
17/07/2019,312.7003367
18/07/2019,315.5704225
19/07/2019,301.835443
20/07/2019,313.2013889
21/07/2019,286.7041199
22/07/2019,327.4433657
23/07/2019,316.6551724
24/07/2019,312.9663609
25/07/2019,333.8123515
26/07/2019,324.0034247
27/07/2019,325.1533742
28/07/2019,293.0826772
29/07/2019,323.2278912
30/07/2019,309.6746032
31/07/2019,307.197026
01/08/2019,301.8158845
02/08/2019,307.3209877
03/08/2019,291.4503817
04/08/2019,318.8150943
05/08/2019,294.6653992
06/08/2019,294.8296296
07/08/2019,300.0131148
08/08/2019,321.4270073
09/08/2019,309.1585761
10/08/2019,323.1754967
11/08/2019,286.1944444
12/08/2019,329.5280528
13/08/2019,318.4780876
14/08/2019,324.7201365
15/08/2019,310.9849624
16/08/2019,303.3140794
17/08/2019,288.5532787
18/08/2019,295.9965986
19/08/2019,312.6666667
20/08/2019,314.8954704
21/08/2019,309.378882
22/08/2019,322.1102662
23/08/2019,311.0996785
24/08/2019,316.4417178
25/08/2019,313.026087
26/08/2019,323.0855457
27/08/2019,318.3428571
28/08/2019,311.5467626
29/08/2019,316.3543046
30/08/2019,307.6787004
31/08/2019,310.3584906
01/09/2019,307.7632509
02/09/2019,317.9800664
03/09/2019,330.2313433
04/09/2019,314.4615385
05/09/2019,310.15625
06/09/2019,306.0882353
07/09/2019,323.5714286
08/09/2019,307.96
09/09/2019,333.4428044
10/09/2019,310.8957529
11/09/2019,307.7559322
12/09/2019,301.8178571
13/09/2019,331.3531157
14/09/2019,325.7217391
15/09/2019,318.0564263
16/09/2019,308.8105263
17/09/2019,329.7044025
18/09/2019,320.6635802
19/09/2019,320.2517241
20/09/2019,332.0175439
21/09/2019,315.1023891
22/09/2019,302.1541096
23/09/2019,308.0501931
24/09/2019,347.644385
25/09/2019,317.3264605
26/09/2019,327.6619217
27/09/2019,316.937931
28/09/2019,318.0322581
29/09/2019,311.6802974
30/09/2019,310.1367521
01/10/2019,338.3706667
02/10/2019,311.8549383
03/10/2019,320.7122807
04/10/2019,313.5555556
05/10/2019,310.4040404
06/10/2019,298.4983165
07/10/2019,302.4388489
08/10/2019,315.4007353
09/10/2019,316.8533835
10/10/2019,334.0398671
11/10/2019,329.5117057
12/10/2019,326.4716981
13/10/2019,316.9155844
14/10/2019,316.2525597
15/10/2019,320.4792453
16/10/2019,296.1083032
17/10/2019,311.0204918
18/10/2019,321.9841897
19/10/2019,319.6917808
20/10/2019,288.2857143
21/10/2019,297.3076923
22/10/2019,307.1985816
23/10/2019,316.3071429
24/10/2019,313.527881
25/10/2019,332.032967
26/10/2019,300.8555133
27/10/2019,309.9502924
28/10/2019,299.8714286
